Aluminum alloy,Melting point,
"201.0","535 - 650",
"204.0","570 - 650",
"356.0","555 - 615",
"359.0","555 - 615",
"360.0","555 - 595",
"383.0","515 - 580",
"390.0","505 - 650",
"413.0","574 - 582",
"443.0","575 - 630",
"512.0","588 - 632",
"514.0","585 - 630",
"518.0","535 - 620",
"535.0","550 - 630",
"712.0","610 - 650",
